Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 wear,Gorget,Throat,Grooves,Comments
4100-08355,05/14/2012,8:05,MCGC,FCE,BTLH,AHY,F,4.2,50.1,18.0,31.0,,,,,,E9
4100-08751,05/14/2012,8:59,MCGC,FCE,BTLH,AHY,M,3.8,50.3,18.2,31.6,,,,,,
4100-58900,07/11/2012,7:36,MCGC,FCE,CAHU,AHY,M,2.8,37.3,14.0,18.7,,,,,,
4100-58908,07/11/2012,9:30,MCGC,FCE,CAHU,AHY,M,2.6,37.8,14.0,19.0,,,,,,
4100-58909,07/11/2012,15:50,MCGC,FCE,CAHU,AHY,M,2.8,39.9,14.2,18.5,,,,,,
4100-58910,07/11/2012,16:35,MCGC,FCE,CAHU,AHY,M,3.0,40.2,14.6,18.8,,,,,,
4100-59370,06/12/2012,8:31,MCGC,FCE,BTLH,AHY,F,4.2,50.1,20.0,29.3,,,,,,E8
4100-59451,05/10/2012,5:53,MCGC,FCE,BTLH,AHY,F,3.4,50.2,18.9,29.5,,,,,,
4100-59852,07/11/2012,17:25,MCGC,FCE,CAHU,AHY,F,2.8,42.5,16.2,21.5,,,,,,
9100-22801,05/04/2012,11:38,MP1,FCE,BTLH,AHY,M,3.4,49.8,18.3,30.8,,,,,,
9100-22802,05/26/2012,6:31,MCGC,FCE,BTLH,AHY,M,3.6,49.3,17.4,29.4,,,,,,
9100-22803,05/26/2012,16:36,MP1,FCE,BTLH,AHY,M,3.6,50.4,17.2,31.0,,,,,,
9100-22804,05/26/2012,16:48,MP1,FCE,BTLH,AHY,M,3.3,51.4,16.4,32.0,,,,,,
9100-22805,05/29/2012,6:30,MCGC,FCE,BTLH,AHY,M,2.8,48.9,16.2,31.0,,,,,,formerly L59259
9100-22869,05/10/2012,6:20,MCGC,FCE,BTLH,AHY,F,3.4,50.4,17.2,29.7,,,,,,
9100-22872,05/10/2012,7:00,MCGC,FCE,BTLH,AHY,F,3.6,51.2,19.0,32.0,,,,,,
9100-22873,05/10/2012,7:05,MCGC,FCE,BTLH,AHY,F,3.7,50.8,18.0,31.0,,,,,,E7
9100-22874,05/13/2012,10:05,MP1,FCE,BTLH,AHY,F,3.3,50.9,18.1,30.0,,,,,,
9100-22875,05/15/2012,7:33,MP1,FCE,BTLH,AHY,F,3.4,49.7,18.2,29.8,,,,,,
9100-22890,05/04/2012,7:35,MCGC,FCE,BTLH,AHY,M,3.5,50.0,17.1,31.8,,,,,,
