"Location","State","Latitude","Longitude","Elevation","N.Captures","Individuals.Banded","N.Recaptures","N.Males","N.Females"
"SCSNA","AZ",31.48797222,-110.8786111,1118,15,15,0,9,6
"KP","AZ",31.95794444,-111.5972222,2066,18,18,0,4,14
"CH","AZ",32.00472222,-109.3569444,1648,26,26,0,10,16
"HC","AZ",31.49905556,-110.6819167,1387,31,29,2,19,10
"CAVO","NM",36.778708,-103.979378,2214,58,58,0,17,41
"BRCA","UT",37.65116667,-112.1766389,2428,71,64,5,26,38
"GC","AZ",31.47177778,-110.3566667,1655,71,67,4,29,38
"CFCK","UT",37.79330556,-111.4149722,1627,93,76,14,14,62
"ESC","UT",37.77277778,-111.616,1793,101,99,2,37,62
"FG","AZ",32.62627778,-109.9443056,1492,128,116,12,56,60
"RA","AZ",31.44752778,-110.3074444,1693,214,212,2,147,65
"FH","AZ",31.54738889,-110.3685833,1557,229,224,5,111,113
"MI","AZ",31.415528,-110.2765,1753,251,250,1,107,143
"MG","AZ",32.70427778,-109.9136111,2895,271,187,58,45,142
"MA","AZ",31.71463889,-110.8760278,1621,272,261,8,139,122
"AL","AZ",33.83969444,-109.1205833,2438,357,322,26,108,214
"SWRS","AZ",31.88322222,-109.2052778,1638,358,325,23,165,160
"SH","AZ",32.443472,-110.755833,2451,463,432,27,268,164
"MV","CO",37.29516667,-108.4214722,2368,536,364,67,162,202
"PP","CO",40.567095,-105.593285,2743,643,523,97,153,370
"EC","AZ",31.86886111,-109.3675833,1777,723,648,48,357,291
"PA","AZ",31.93522222,-109.2190278,1673,864,830,30,392,438
"WCAT","UT",38.10833333,-111.3416667,2624,1518,864,344,387,477
"PCBNM","NM",35.832506,-106.3545,2309,1698,1029,292,416,613
"DGS","CO",37.77980556,-108.0901944,2741,2726,1661,552,951,710
"ML","AZ",32.44088889,-110.7885833,2786,4445,2508,851,1292,1216
